,HEADLINE,ID,ONCLICK
0,김정은동지께서 김대중 전 대통령의 부인 리희호녀사의 유가족들에게 조의문을 보내시였다,AR0126135,"fn_showArticle(""AR0126135"", """", ""NT00"", ""L"")"
1,경애하는 최고령도자 김정은동지께서 김대중 전 대통령의 부인 리희호녀사의 유가족들에게 조의문과 조화를 보내시였다,AR0126133,"fn_showArticle(""AR0126133"", """", ""NT00"", ""L"")"
2,김정은동지께서 로씨야대통령에게 축전을 보내시였다,AR0126098,"fn_showArticle(""AR0126098"", """", ""NT00"", ""L"")"
3,경애하는 최고령도자 김정은동지께서 조선인민군 제2기 제7차 군인가족예술소조경연에서 당선된 군부대들의 군인가족예술소조원들과 기념사진을 찍으시였다,AR0125885,"fn_showArticle(""AR0125885"", """", ""NT00"", ""L"")"
4,김정은동지께서 꾸바공산당 중앙위원회 제1비서에게 축전을 보내시였다,AR0125876,"fn_showArticle(""AR0125876"", """", ""NT00"", ""L"")"
5,대집단체조와 예술공연 《인민의 나라》 개막,AR0125856,"fn_showArticle(""AR0125856"", """", ""NT00"", ""L"")"
6,"조선반도와 세계의 평화를 위해서는 조미공동성명이 리행되여야 한다고 인도네시아정당,단체 주장",AR0126358,"fn_showArticle(""AR0126358"", """", ""NT41"", ""L"")"
7,김일성주석회고 스웨리예위원회 결성,AR0126357,"fn_showArticle(""AR0126357"", """", ""NT41"", ""L"")"
8,로씨야단체들 6.12조미공동성명채택 1돐에 즈음하여 성명 발표,AR0126356,"fn_showArticle(""AR0126356"", """", ""NT41"", ""L"")"
9,김정일동지의 로작을 로씨야의 인터네트홈페지가 게재,AR0126355,"fn_showArticle(""AR0126355"", """", ""NT41"", ""L"")"
10,민주꽁고단체 6.15북남공동선언발표 19돐에 즈음하여 뷸레찐 발행,AR0126354,"fn_showArticle(""AR0126354"", """", ""NT41"", ""L"")"
11,2019년 아시아축구련맹컵경기대회 9조(동아시아지역)경기소식,AR0126353,"fn_showArticle(""AR0126353"", """", ""NT41"", ""L"")"
12,원격교육을 강화,AR0126352,"fn_showArticle(""AR0126352"", """", ""NT41"", ""L"")"
13,로씨야정교회대표단 귀국,AR0126351,"fn_showArticle(""AR0126351"", """", ""NT41"", ""L"")"
14,"김일성동지와 김정일동지의 동상에 근로자들과 청소년학생들,인민군장병들 꽃바구니 진정",AR0126350,"fn_showArticle(""AR0126350"", """", ""NT41"", ""L"")"
15,조선기자동맹대표단 중국을 방문하기 위해 출발,AR0126349,"fn_showArticle(""AR0126349"", """", ""NT41"", ""L"")"
16,주체성과 민족성이 강한 조선의 사회주의,AR0126339,"fn_showArticle(""AR0126339"", """", ""NT41"", ""L"")"
17,사회주의위업을 승리에로 향도하는 조선로동당,AR0126338,"fn_showArticle(""AR0126338"", """", ""NT41"", ""L"")"
18,조선로동당을 참다운 어머니당으로 건설하신 위대한 령도자,AR0126335,"fn_showArticle(""AR0126335"", """", ""NT41"", ""L"")"
19,소원을 성취 못한 기자--어머님과 일화,AR0126334,"fn_showArticle(""AR0126334"", """", ""NT41"", ""L"")"
20,남조선각계 북남선언리행을 위한 통일운동 활발히 전개,AR0126331,"fn_showArticle(""AR0126331"", """", ""NT41"", ""L"")"
21,남조선신문 《자한당》의 로동악법조작책동을 규탄,AR0126330,"fn_showArticle(""AR0126330"", """", ""NT41"", ""L"")"
22,중조친선을 계승하여 시대의 새로운 장을 계속 아로새기자,AR0126327,"fn_showArticle(""AR0126327"", """", ""NT41"", ""L"")"
23,주체108(2019)년 6월 19일 신문개관,AR0126325,"fn_showArticle(""AR0126325"", """", ""NT41"", ""L"")"
24,《로동신문》 대조선적대시정책에 매여달리는 일본을 규탄,AR0126324,"fn_showArticle(""AR0126324"", """", ""NT41"", ""L"")"
25,김정일동지의 주체의 당건설령도업적을 길이 빛내여나가자고  《로동신문》 강조,AR0126322,"fn_showArticle(""AR0126322"", """", ""NT41"", ""L"")"
26,《로동신문》 사상사업은 사회주의위업수행에서 중핵적인 사업이라고 강조,AR0126321,"fn_showArticle(""AR0126321"", """", ""NT41"", ""L"")"
27,앞날의 훌륭한 교육자로--평양교원대학에서,AR0126320,"fn_showArticle(""AR0126320"", """", ""NT41"", ""L"")"
28,조선인민을 승리에로 향도하는 조선로동당을 국제사회계가 격찬,AR0126319,"fn_showArticle(""AR0126319"", """", ""NT41"", ""L"")"
29,조선인민에게 련대성을 보낼것을 세네갈정당 호소,AR0126317,"fn_showArticle(""AR0126317"", """", ""NT41"", ""L"")"
30,김정일동지의 당건설업적을 여러 나라 인사들 찬양,AR0126316,"fn_showArticle(""AR0126316"", """", ""NT41"", ""L"")"
31,백두산체스꼬조선친선협회 년차총회 진행,AR0126315,"fn_showArticle(""AR0126315"", """", ""NT41"", ""L"")"
32,중앙미술전시회 개막,AR0126318,"fn_showArticle(""AR0126318"", """", ""NT41"", ""L"")"
33,중앙연구토론회 진행,AR0126314,"fn_showArticle(""AR0126314"", """", ""NT41"", ""L"")"
