,name,rank,song
0,Lil Nas X Featuring Billy Ray Cyrus,1,Old Town Road
1,Billie Eilish,2,Bad Guy
2,Khalid,3,Talk
3,Jonas Brothers,4,Sucker
4,Ed Sheeran & Justin Bieber,5,I Don't Care
5,Post Malone,6,Wow.
6,Post Malone & Swae Lee,7,Sunflower (Spider-Man: Into The Spider-Verse)
7,DaBaby,8,Suge
8,Chris Brown Featuring Drake,9,No Guidance
9,Sam Smith & Normani,10,Dancing With A Stranger
10,Polo G Featuring Lil Tjay,11,Pop Out
11,Shawn Mendes,12,If I Can't Have You
12,Ava Max,13,Sweet But Psycho
13,Taylor Swift Featuring Brendon Urie,14,ME!
14,Halsey,15,Without Me
15,Ariana Grande,16,7 Rings
16,Lizzo,17,Truth Hurts
17,Marshmello & Bastille,18,Happier
18,Blake Shelton,19,God's Country
19,Morgan Wallen,20,Whiskey Glasses
20,Panic! At The Disco,21,High Hopes
21,Luke Combs,22,Beer Never Broke My Heart
22,Daddy Yankee & Katy Perry Featuring Snow,23,Con Calma
23,"Young Thug, J. Cole & Travis Scott",24,The London
24,J. Cole,25,Middle Child
25,City Girls,26,Act Up
26,"benny blanco, Halsey & Khalid",27,Eastside
27,Katy Perry,28,Never Really Over
28,Mustard & Migos,29,Pure Water
29,"Tyler, The Creator",30,Earfquake
30,Panic! At The Disco,31,"Hey Look Ma, I Made It"
31,Meek Mill Featuring Drake,32,Going Bad
32,Dan + Shay,33,Speechless
33,Lady Gaga & Bradley Cooper,34,Shallow
34,Khalid,35,Better
35,Lee Brice,36,Rumor
36,Ariana Grande,37,"Break Up With Your Girlfriend, I'm Bored"
37,Travis Scott,38,Sicko Mode
38,Thomas Rhett,39,Look What God Gave Her
39,A Boogie Wit da Hoodie,40,Look Back At It
40,Calboy,41,Envy Me
41,Billie Eilish,42,When The Party's Over
42,Halsey,43,Nightmare
43,Jonas Brothers,44,Cool
44,Luke Combs,45,Beautiful Crazy
45,Kane Brown,46,Good As You
46,Cardi B,47,Press
47,Lil Baby,48,Close Friends
48,Ed Sheeran Featuring Chance The Rapper & PnB Rock,49,Cross Me
49,"YG, Tyga & Jon Z",50,Go Loko
50,Cardi B & Bruno Mars,51,Please Me
51,Brett Eldredge,52,Love Someone
52,Offset Featuring Cardi B,53,Clout
53,YK Osiris,54,Worth It
54,Lewis Capaldi,55,Someone You Loved
55,Kelsea Ballerini,56,Miss Me More
56,P!nk,57,Walk Me Home
57,Billie Eilish,58,Bury A Friend
58,Maren Morris,59,GIRL
59,DJ Khaled Featuring SZA,60,Just Us
60,Luke Bryan,61,Knockin' Boots
61,Luke Combs,62,Even Though I'm Leaving
62,5 Seconds Of Summer,63,Easier
63,Summer Walker X Drake,64,Girls Need Love
64,Lil Tecca,65,Ran$om
65,Blanco Brown,66,The Git Up
66,Meek Mill Featuring Ella Mai,67,24/7
67,Jason Aldean,68,Rearview Town
68,Bad Bunny & Tainy,69,Callaita
69,DJ Khaled Featuring Cardi B & 21 Savage,70,Wish Wish
70,Dan + Shay,71,All To Myself
71,Chase Rice,72,Eyes On You
72,Beyonce,73,Before I Let Go
73,Eric Church,74,Some Of It
74,Marshmello Featuring CHVRCHES,75,Here With Me
75,Lil Uzi Vert,76,Sanguine Paradise
76,"Lunay, Daddy Yankee & Bad Bunny",77,Soltera
77,Florida Georgia Line,78,Talk You Out Of It
78,Yo Gotti Featuring Lil Baby,79,Put A Date On It
79,Eli Young Band,80,Love Ain't
80,NLE Choppa,81,Shotta Flow
81,Pedro Capo X Farruko,82,Calma
82,Avicii,83,Heaven
83,The Chainsmokers & Bebe Rexha,84,Call You Mine
84,Billie Eilish,85,Ocean Eyes
85,Megan Thee Stallion,86,Big Ole Freak
86,Future,87,Please Tell Me
87,Cody Johnson,88,On My Way To You
88,SHAED,89,Trampoline
89,Chris Young,90,Raised On Country
90,Nicky Jam X Ozuna,91,Te Robare
91,Ozuna,92,Amor Genuino
92,Jonas Brothers,93,Only Human
93,"Yella Beezy, Gucci Mane & Quavo",94,Bacc At It Again
94,Bryce Vine Featuring YG,95,La La Land
95,Juice WRLD,96,Robbery
96,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,97,Baila Baila Baila
97,Future,98,XanaX Damage
98,Future,99,Government Official
99,Sech Featuring Darell,100,Otro Trago
